"County","Election District","Election Precinct","Cong","Legs","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"01","001","000","06","01C","Donald J. Trump","REP","President - Vice Pres","","","","94","","267","","23","","14","","19","","417",""
"01","001","000","06","01C","Joe Biden","DEM","President - Vice Pres","","Y","","14","","17","","16","","12","","17","","76",""
"01","001","000","06","01C","Jo Jorgensen","LIB","President - Vice Pres","","","","0","","5","","0","","1","","0","","6",""
"01","001","000","06","01C","Howie Gresham Hawkins","GRN","President - Vice Pres","","","","0","","2","","0","","0","","0","","2",""
"01","001","000","06","01C","Jerome M. Segal","BAR","President - Vice Pres","","","","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Brian Carroll","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Jade Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
"01","001","000","06","01C","Kanye West","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","",""
