"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Write-In?","Early Votes","Early Votes Against","Election Night Votes","Election Night Votes Against","Mail-In Ballot 1 Votes","Mail-In Ballot 1 Votes Against","Provisional Votes","Provisional Votes Against","Mail-In Ballot 2 Votes","Mail-In Ballot 2 Votes Against" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Kamala D. Harris and Tim Walz","DEM","Y","","10","","38","","21","","2","","1","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Donald J. Trump and JD Vance","REP","","","59","","323","","28","","10","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Chase Oliver and Mike ter Maat","LIB","","","2","","2","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Jill Ellen Stein and Rudolph Ware","GRN","","","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Robert F. Kennedy, Jr. and Nicole Shanahan","UNA","","","0","","2","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Sharon E Harris","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Ralph Jaffe","DEM","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Paij Boring and Jaimey Rutschman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Sethatina Newman","REP","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Carol Asher","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Jokie Beckett, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Claudia De la Cruz and Karina Garcia","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","John R. Gibb, Jr.","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Joseph Kishore","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","William P. Stodden","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Shiva Ayyadurai and Crystal Ellis","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","President R. Boddie","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Theo Brown, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Susan Maude Buchser","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","John Cheng and Wayne Waligorski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Cherunda Fox","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Garry Hubbard and Elizabeth Seymour","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Shondra Irving","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Douglas Jenkins","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Brian Larry Kienitz","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Richard Mayers","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Andrè Ramon McNeil, Sr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Future Madam Potus and Jessica Kennedy","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Benjamin L. Schwalb","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Peter Sonski","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Lester H. Waller, Jr.","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Cornel West and Melina Abdullah","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Michael Yost","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Other Write-Ins","","","Y","0","","2","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Angela Alsobrooks","DEM","Y","","8","","28","","19","","1","","1","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Larry Hogan","REP","","","59","","314","","30","","10","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Mike Scott","LIB","","","3","","19","","0","","1","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Patrick J. Burke","OTC","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Billy Bridges","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Irwin William Gibbs","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Christy Renee Helmondollar","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Robin Rowe","UNA","","Y","0","","0","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Other Write-Ins","","","Y","1","","2","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","April McClain Delaney","DEM","Y","","9","","47","","21","","2","","1","" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Neil C. Parrott","REP","","","59","","311","","27","","9","","0","" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Other Write-Ins","","","Y","0","","1","","0","","0","","0","" 
"01","Allegany County","001-000","06","01C","MD Supreme Court","03","Matthew J. Fader","JUD","Y","","51","6","235","56","29","6","6","1","0","1" 
