"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Joe Biden","DEM","Y","3","6","11","5","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Dean Phillips","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Marianne Williamson","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Uncommitted to any Presidential Candidate","DEM","","0","3","2","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","06","Joe Biden","DEM","Y","3","6","11","5","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","06","Dean Phillips","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","06","Marianne Williamson","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","06","Uncommitted to any Presidential Candidate","DEM","","0","3","2","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Angela Alsobrooks","DEM","Y","0","0","1","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Michael W. Cobb, Sr.","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Marcellus Crews","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Brian E. Frydenborg","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Scottie J. Griffin","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Robert K. Houton","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Joseph Perez","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Steven Henry Seuferer","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","David J. Trone","DEM","","3","8","12","5","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Andrew Jaye Wildman","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Peter Choharis","DEM","","0","0","2","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","George Gluck","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Geoffrey Grammer","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Ashwani Jain","DEM","","0","1","1","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Lesley J. Lopez","DEM","","0","1","1","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Tekesha A. Martinez","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","April McClain Delaney","DEM","Y","2","4","6","5","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Stephen R. McDow, II","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Mohammad S. Mozumder","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Adrian Petrus","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Joel Rubin","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Laurie-Anne Sayles","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Joe Vogel","DEM","","1","1","1","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Destiny Drake West","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Kiambo ""Bo"" White","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Altimont Mark Wilks","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Ata W. Ahmad (Uncommitted)","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Haroon Akhtar (Uncommitted)","DEM","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Ovais H. Bajwa (Uncommitted)","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Donna S. Edwards (Biden)","DEM","Y","3","7","11","5","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Jessica Fitzwater (Biden)","DEM","Y","3","5","9","5","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Brian K. Grim (Biden)","DEM","Y","3","4","12","5","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Djawa Hall (Biden)","DEM","Y","3","2","8","5","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Karen Lewis Young (Biden)","DEM","Y","3","5","9","5","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Syeda N. Mehmooda (Uncommitted)","DEM","","1","1","1","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Samreen Nizami (Uncommitted)","DEM","","0","1","1","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Akhtar Ahmad Sheikh (Uncommitted)","DEM","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","Democratic Delegates","06","Thomas G. Slater (Biden)","DEM","Y","2","4","9","5","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Joe Biden","DEM","Y","1","5","8","4","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Dean Phillips","DEM","","0","0","1","0","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Marianne Williamson","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","","Uncommitted to any Presidential Candidate","DEM","","1","1","1","0","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","06","Joe Biden","DEM","Y","1","5","8","4","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","06","Dean Phillips","DEM","","0","0","1","0","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","06","Marianne Williamson","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","President - Vice Pres","06","Uncommitted to any Presidential Candidate","DEM","","1","1","1","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Angela Alsobrooks","DEM","Y","0","3","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Michael W. Cobb, Sr.","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Marcellus Crews","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Brian E. Frydenborg","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Scottie J. Griffin","DEM","","0","0","1","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Robert K. Houton","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Joseph Perez","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Steven Henry Seuferer","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","David J. Trone","DEM","","1","3","8","4","0" 
"01","Allegany County","002-000","06","01C","U.S. Senator","","Andrew Jaye Wildman","DEM","","1","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Peter Choharis","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","George Gluck","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Geoffrey Grammer","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Ashwani Jain","DEM","","0","2","0","1","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Lesley J. Lopez","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Tekesha A. Martinez","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","April McClain Delaney","DEM","Y","0","3","6","2","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Stephen R. McDow, II","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Mohammad S. Mozumder","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Adrian Petrus","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Joel Rubin","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Laurie-Anne Sayles","DEM","","1","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Joe Vogel","DEM","","1","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Destiny Drake West","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Kiambo ""Bo"" White","DEM","","0","1","0","0","0" 
"01","Allegany County","002-000","06","01C","U.S. Congress","06","Altimont Mark Wilks","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Ata W. Ahmad (Uncommitted)","DEM","","1","0","0","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Haroon Akhtar (Uncommitted)","DEM","","1","0","0","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Ovais H. Bajwa (Uncommitted)","DEM","","1","0","0","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Donna S. Edwards (Biden)","DEM","Y","1","4","8","4","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Jessica Fitzwater (Biden)","DEM","Y","1","3","8","4","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Brian K. Grim (Biden)","DEM","Y","1","4","8","4","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Djawa Hall (Biden)","DEM","Y","1","2","8","4","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Karen Lewis Young (Biden)","DEM","Y","1","3","8","4","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Syeda N. Mehmooda (Uncommitted)","DEM","","0","1","1","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Samreen Nizami (Uncommitted)","DEM","","0","1","0","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Akhtar Ahmad Sheikh (Uncommitted)","DEM","","0","0","0","0","0" 
"01","Allegany County","002-000","06","01C","Democratic Delegates","06","Thomas G. Slater (Biden)","DEM","Y","1","3","7","4","0" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Joe Biden","DEM","Y","8","1","9","5","0" 
