"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Nikki R. Haley","REP","","0","8","2","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","","Donald J. Trump","REP","Y","7","107","18","7","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","06","Nikki R. Haley","REP","","0","8","2","0","0" 
"01","Allegany County","001-000","06","01C","President - Vice Pres","06","Donald J. Trump","REP","Y","7","107","18","7","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Moe H. Barakat","REP","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Chris Chaffee","REP","","0","6","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Robin Ficker","REP","","4","40","9","2","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Lorie R. Friend","REP","","2","1","0","2","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Larry Hogan","REP","Y","1","58","11","3","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","John A. Myrick","REP","","0","5","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Senator","","Laban Y. Seyoum","REP","","0","1","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Dan Cox","REP","","3","40","7","5","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Chris Hyser","REP","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Neil C. Parrott","REP","Y","4","63","12","2","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Todd A. Puglisi","REP","","0","0","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Mariela Roca","REP","","0","3","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Tom Royals","REP","","0","4","0","0","0" 
"01","Allegany County","001-000","06","01C","U.S. Congress","06","Brenda J. Thiam","REP","","0","0","1","0","0" 
"01","Allegany County","001-000","06","01C","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","4","91","17","6","0" 
"01","Allegany County","001-000","06","01C","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","6","89","17","6","0" 
"01","Allegany County","001-000","06","01C","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","6","91","17","6","0" 
"01","Allegany County","001-000","06","01C","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","0","7","2","1","0" 
"01","Allegany County","001-000","06","01C","REP Delegates","06","Seth Schwartz (Haley)","REP","","0","7","2","0","0" 
"01","Allegany County","001-000","06","01C","REP Delegates","06","Jim Shalleck (Haley)","REP","","0","8","2","0","0" 
"01","Allegany County","001-000","06","01C","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","6","91","17","7","0" 
"01","Allegany County","001-000","06","01C","REP Alternates","06","Matthew E. Iager (Haley)","REP","","0","9","2","0","0" 
"01","Allegany County","001-000","06","01C","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","6","88","15","6","0" 
"01","Allegany County","001-000","06","01C","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","0","7","2","1","0" 
