cast_vote_record,precinct,ballot_style,governor_lt_governor,comptroller,attorney_general,u_s_senator,representative_in_congress_6
4,013-001,013-001,DEM,REP,REP,REP,REP
5,002-001,002-001,REP,REP,REP,REP,REP
6,014-001,014-001,REP,REP,REP,REP,REP
7,002-018,002-018,WCP,REP,undervote,DEM,DEM
9,009-007,009-007,REP,REP,REP,REP,REP
11,021-004,021-004,DEM,DEM,DEM,DEM,DEM
13,002-010,002-010,REP,REP,REP,REP,REP
14,002-005,002-005,REP,REP,REP,REP,REP
19,018-003,018-003,REP,REP,REP,REP,REP
21,002-014,002-014,DEM,DEM,DEM,DEM,DEM
23,002-013,002-013,DEM,DEM,DEM,DEM,DEM
25,017-001,017-001,REP,REP,REP,REP,REP
27,012-001,012-001,REP,REP,REP,REP,REP
28,002-010,002-010,DEM,DEM,DEM,DEM,DEM
29,024-005,024-005,DEM,DEM,DEM,DEM,DEM
31,021-007,021-007,DEM,DEM,DEM,DEM,DEM
33,009-006,009-006,DEM,DEM,DEM,DEM,DEM
35,002-004,002-004,DEM,DEM,DEM,DEM,DEM
36,002-005,002-005,DEM,DEM,DEM,DEM,DEM
39,021-002,021-002,REP,REP,REP,REP,REP
41,002-010,002-010,REP,REP,REP,REP,REP
42,024-001,024-001,REP,REP,REP,REP,REP
43,021-007,021-007,DEM,DEM,DEM,DEM,DEM
45,001-002,001-002,DEM,DEM,DEM,DEM,DEM
49,002-007,002-007,DEM,DEM,DEM,DEM,DEM
50,002-004,002-004,DEM,DEM,DEM,DEM,DEM
51,013-001,013-001,DEM,DEM,DEM,DEM,DEM
52,002-018,002-018,DEM,DEM,DEM,DEM,DEM
57,009-003,009-003,REP,REP,REP,REP,REP
60,002-018,002-018,DEM,REP,DEM,DEM,DEM
62,002-016,002-016,REP,REP,REP,REP,REP
64,002-013,002-013,DEM,DEM,DEM,DEM,DEM
65,002-017,002-017,REP,REP,REP,REP,REP
67,013-001,013-001,DEM,DEM,DEM,DEM,DEM
69,002-006,002-006,DEM,DEM,DEM,DEM,DEM
70,002-014,002-014,NA,undervote,DEM,undervote,DEM
73,024-001,024-001,REP,REP,REP,REP,REP
75,021-002,021-002,DEM,DEM,DEM,DEM,DEM
77,002-005,002-005,DEM,DEM,DEM,DEM,DEM
80,001-002,001-002,REP,REP,REP,REP,REP
81,002-014,002-014,DEM,DEM,DEM,DEM,DEM
82,021-002,021-002,DEM,DEM,DEM,DEM,DEM
85,002-001,002-001,DEM,REP,DEM,DEM,DEM
89,014-001,014-001,DEM,DEM,DEM,DEM,DEM
91,021-004,021-004,DEM,DEM,DEM,DEM,DEM
94,002-010,002-010,DEM,DEM,DEM,DEM,DEM
97,026-001,026-001,DEM,DEM,DEM,DEM,DEM
99,009-006,009-006,REP,REP,REP,REP,REP
101,012-001,012-001,DEM,DEM,DEM,DEM,DEM
102,020-001,020-001,REP,REP,REP,REP,REP
104,002-013,002-013,DEM,DEM,DEM,DEM,DEM
106,002-008,002-008,REP,REP,REP,REP,REP
108,025-001,025-001,REP,REP,REP,REP,REP
111,002-007,002-007,DEM,DEM,DEM,DEM,DEM
112,002-004,002-004,REP,REP,REP,REP,REP
113,013-001,013-001,DEM,DEM,DEM,DEM,DEM
115,002-014,002-014,DEM,DEM,DEM,DEM,DEM
117,009-008,009-008,LIB,REP,undervote,REP,REP
121,002-017,002-017,REP,REP,REP,REP,REP
123,002-005,002-005,DEM,DEM,DEM,DEM,DEM
124,023-001,023-001,DEM,DEM,DEM,DEM,DEM
125,009-005,009-005,DEM,DEM,DEM,DEM,DEM
127,023-005,023-005,REP,REP,REP,REP,REP
128,002-002,002-002,DEM,DEM,DEM,DEM,DEM
130,002-007,002-007,DEM,DEM,DEM,DEM,DEM
135,021-001,021-001,REP,REP,REP,REP,REP
146,003-003,003-003,REP,REP,REP,REP,REP
147,021-004,021-004,REP,REP,REP,REP,REP
148,009-006,009-006,DEM,DEM,DEM,DEM,DEM
149,002-013,002-013,DEM,DEM,DEM,DEM,DEM
151,002-015,002-015,REP,REP,REP,REP,REP
154,001-002,001-002,DEM,DEM,DEM,DEM,DEM
156,002-015,002-015,REP,REP,REP,REP,REP
157,014-002,014-002,DEM,DEM,DEM,DEM,DEM
160,002-006,002-006,DEM,DEM,DEM,DEM,DEM
162,003-003,003-003,REP,REP,REP,REP,REP
166,026-001,026-001,REP,REP,REP,REP,REP
167,002-015,002-015,DEM,DEM,DEM,DEM,DEM
170,002-005,002-005,DEM,DEM,DEM,DEM,DEM
172,002-003,002-003,REP,REP,REP,REP,REP
173,001-002,001-002,DEM,DEM,DEM,DEM,DEM
174,001-002,001-002,DEM,DEM,DEM,DEM,DEM
177,023-005,023-005,DEM,DEM,DEM,DEM,DEM
179,002-005,002-005,DEM,DEM,DEM,DEM,DEM
180,002-007,002-007,DEM,DEM,DEM,DEM,DEM
181,002-008,002-008,REP,REP,REP,REP,REP
182,023-005,023-005,DEM,DEM,DEM,DEM,DEM
184,002-006,002-006,DEM,DEM,DEM,DEM,DEM
185,002-008,002-008,REP,REP,REP,REP,REP
186,002-018,002-018,REP,REP,REP,REP,REP
188,002-005,002-005,DEM,undervote,undervote,REP,REP
189,002-007,002-007,DEM,DEM,DEM,DEM,DEM
191,009-006,009-006,DEM,DEM,DEM,DEM,DEM
198,018-002,018-002,REP,REP,REP,REP,REP
200,002-015,002-015,DEM,REP,DEM,DEM,DEM
205,002-015,002-015,DEM,DEM,DEM,DEM,DEM
206,009-007,009-007,DEM,DEM,DEM,DEM,DEM
207,002-011,002-011,DEM,DEM,DEM,DEM,DEM
210,018-002,018-002,REP,REP,REP,REP,REP
211,002-005,002-005,DEM,DEM,DEM,DEM,DEM
213,023-005,023-005,REP,REP,REP,REP,REP
215,012-001,012-001,REP,REP,REP,REP,REP
217,002-015,002-015,DEM,DEM,DEM,DEM,DEM
218,002-001,002-001,DEM,DEM,DEM,DEM,DEM
220,002-005,002-005,DEM,DEM,DEM,DEM,DEM
221,002-007,002-007,REP,REP,REP,REP,REP
223,014-001,014-001,REP,REP,undervote,REP,REP
224,026-002,026-002,DEM,DEM,DEM,DEM,DEM
225,002-016,002-016,DEM,DEM,DEM,DEM,DEM
226,012-001,012-001,REP,REP,DEM,REP,REP
227,002-015,002-015,REP,REP,REP,REP,REP
229,002-015,002-015,REP,REP,REP,REP,REP
230,013-001,013-001,REP,REP,REP,REP,REP
232,002-007,002-007,DEM,DEM,DEM,DEM,DEM
234,002-007,002-007,DEM,DEM,DEM,DEM,DEM
236,021-004,021-004,REP,REP,REP,REP,REP
237,002-007,002-007,DEM,DEM,DEM,DEM,DEM
238,023-001,023-001,REP,REP,REP,REP,REP
239,026-001,026-001,DEM,DEM,DEM,DEM,DEM
242,009-009,009-009,REP,REP,REP,REP,REP
244,001-002,001-002,REP,REP,REP,REP,REP
247,001-003,001-003,REP,REP,REP,REP,REP
248,021-004,021-004,DEM,DEM,DEM,DEM,DEM
250,002-008,002-008,DEM,DEM,DEM,DEM,DEM
251,002-004,002-004,DEM,REP,DEM,DEM,DEM
253,009-007,009-007,DEM,DEM,DEM,DEM,DEM
255,021-002,021-002,REP,REP,REP,REP,REP
256,014-001,014-001,REP,REP,REP,REP,REP
258,021-004,021-004,REP,REP,REP,REP,REP
260,002-008,002-008,REP,REP,REP,REP,REP
262,001-003,001-003,DEM,DEM,DEM,DEM,DEM
264,002-015,002-015,DEM,DEM,DEM,DEM,DEM
266,002-001,002-001,DEM,DEM,DEM,DEM,DEM
267,002-004,002-004,DEM,DEM,DEM,DEM,DEM
269,002-006,002-006,DEM,DEM,DEM,DEM,DEM
273,002-010,002-010,DEM,DEM,DEM,DEM,DEM
279,002-003,002-003,DEM,DEM,DEM,DEM,DEM
283,002-010,002-010,REP,REP,REP,REP,REP
285,002-011,002-011,WCP,DEM,DEM,DEM,DEM
288,002-010,002-010,DEM,REP,DEM,DEM,DEM
289,023-005,023-005,DEM,DEM,DEM,DEM,DEM
290,002-001,002-001,DEM,DEM,DEM,DEM,DEM
293,003-001,003-001,REP,REP,REP,REP,REP
294,001-002,001-002,DEM,DEM,DEM,DEM,DEM
295,018-002,018-002,REP,REP,REP,REP,REP
297,021-003,021-003,REP,REP,REP,REP,REP
300,001-002,001-002,DEM,DEM,DEM,DEM,DEM
301,002-007,002-007,DEM,DEM,DEM,DEM,DEM
302,009-006,009-006,DEM,DEM,DEM,DEM,DEM
305,002-007,002-007,DEM,DEM,DEM,DEM,DEM
306,001-002,001-002,DEM,DEM,DEM,DEM,DEM
308,002-006,002-006,DEM,DEM,DEM,DEM,DEM
309,021-004,021-004,LIB,undervote,undervote,REP,REP
310,013-001,013-001,REP,REP,REP,REP,REP
313,022-001,022-001,DEM,DEM,DEM,DEM,DEM
314,019-001,019-001,DEM,DEM,DEM,DEM,DEM
316,002-017,002-017,REP,REP,REP,REP,REP
317,002-004,002-004,DEM,DEM,DEM,DEM,DEM
319,014-001,014-001,DEM,DEM,DEM,DEM,DEM
320,002-011,002-011,REP,REP,REP,REP,REP
321,021-003,021-003,DEM,DEM,DEM,DEM,DEM
322,025-001,025-001,DEM,DEM,DEM,DEM,DEM
324,002-015,002-015,DEM,DEM,DEM,DEM,DEM
325,002-007,002-007,DEM,DEM,DEM,DEM,DEM
326,009-009,009-009,DEM,REP,DEM,DEM,DEM
328,014-001,014-001,DEM,DEM,DEM,DEM,DEM
329,014-001,014-001,DEM,DEM,DEM,DEM,DEM
330,014-001,014-001,DEM,DEM,DEM,DEM,DEM
331,002-002,002-002,DEM,DEM,DEM,DEM,DEM
332,001-001,001-001,DEM,DEM,DEM,DEM,DEM
333,002-013,002-013,REP,REP,REP,REP,REP
335,021-004,021-004,REP,REP,REP,REP,REP
337,002-015,002-015,REP,REP,REP,REP,REP
339,002-008,002-008,REP,REP,REP,REP,DEM
342,002-006,002-006,REP,REP,REP,REP,REP
343,018-002,018-002,REP,REP,REP,REP,REP
345,019-001,019-001,REP,REP,REP,REP,REP
347,002-006,002-006,REP,REP,REP,REP,REP
349,001-002,001-002,DEM,DEM,DEM,DEM,DEM
351,021-001,021-001,REP,REP,REP,REP,REP
353,014-001,014-001,REP,REP,REP,DEM,REP
354,002-011,002-011,REP,REP,REP,REP,REP
356,021-004,021-004,DEM,DEM,DEM,DEM,DEM
357,013-001,013-001,DEM,DEM,DEM,DEM,DEM
359,021-001,021-001,REP,REP,REP,REP,REP
361,002-008,002-008,DEM,DEM,DEM,DEM,DEM
362,002-001,002-001,DEM,DEM,DEM,DEM,DEM
363,001-003,001-003,REP,REP,REP,REP,REP
365,026-002,026-002,DEM,REP,REP,DEM,DEM
366,024-002,024-002,REP,REP,REP,REP,REP
367,002-001,002-001,DEM,DEM,DEM,DEM,DEM
369,018-001,018-001,REP,REP,REP,REP,REP
370,002-007,002-007,DEM,DEM,DEM,REP,DEM
371,013-003,013-003,REP,REP,REP,REP,REP
372,021-004,021-004,DEM,DEM,DEM,DEM,DEM
373,002-006,002-006,REP,REP,REP,REP,REP
377,001-001,001-001,REP,REP,REP,REP,REP
379,002-008,002-008,DEM,DEM,DEM,DEM,DEM
381,002-008,002-008,DEM,DEM,DEM,DEM,DEM
383,002-008,002-008,DEM,DEM,DEM,DEM,DEM
384,023-001,023-001,REP,REP,REP,REP,REP
386,002-014,002-014,REP,REP,REP,REP,REP
390,002-005,002-005,LIB,DEM,DEM,DEM,DEM
391,002-006,002-006,REP,REP,REP,REP,REP
395,002-015,002-015,DEM,DEM,DEM,DEM,DEM
397,002-010,002-010,REP,REP,REP,REP,REP
399,002-006,002-006,DEM,REP,DEM,DEM,DEM
403,009-003,009-003,REP,REP,REP,REP,REP
405,001-002,001-002,DEM,DEM,DEM,DEM,DEM
410,021-003,021-003,REP,REP,REP,REP,REP
412,002-011,002-011,DEM,DEM,DEM,DEM,DEM
416,009-006,009-006,DEM,DEM,DEM,DEM,DEM
417,023-005,023-005,REP,undervote,REP,REP,REP
418,021-004,021-004,DEM,DEM,DEM,DEM,DEM
420,024-003,024-003,DEM,DEM,DEM,DEM,DEM
423,002-008,002-008,DEM,DEM,DEM,DEM,DEM
425,002-005,002-005,DEM,DEM,DEM,DEM,DEM
427,021-001,021-001,DEM,DEM,DEM,DEM,DEM
428,012-001,012-001,REP,REP,REP,REP,REP
429,002-015,002-015,DEM,DEM,DEM,DEM,DEM
430,009-006,009-006,REP,REP,REP,REP,REP
435,002-007,002-007,DEM,DEM,DEM,DEM,DEM
438,023-005,023-005,DEM,DEM,DEM,DEM,DEM
439,001-002,001-002,DEM,DEM,DEM,DEM,DEM
440,002-005,002-005,DEM,DEM,DEM,DEM,DEM
445,013-001,013-001,DEM,DEM,DEM,DEM,DEM
448,013-001,013-001,REP,REP,REP,REP,REP
449,018-002,018-002,REP,REP,REP,REP,REP
450,013-001,013-001,DEM,DEM,DEM,DEM,DEM
451,012-001,012-001,REP,REP,REP,REP,REP
452,021-004,021-004,DEM,DEM,DEM,DEM,DEM
453,002-008,002-008,REP,REP,REP,REP,REP
454,001-001,001-001,REP,REP,REP,REP,REP
456,023-001,023-001,DEM,DEM,DEM,DEM,DEM
458,001-003,001-003,DEM,DEM,DEM,DEM,DEM
459,002-014,002-014,REP,REP,REP,REP,REP
460,002-015,002-015,DEM,DEM,DEM,DEM,DEM
464,002-005,002-005,DEM,DEM,DEM,DEM,DEM
467,002-011,002-011,DEM,DEM,DEM,DEM,DEM
468,002-005,002-005,REP,REP,REP,REP,REP
469,021-002,021-002,DEM,DEM,DEM,DEM,DEM
470,002-016,002-016,DEM,DEM,DEM,DEM,DEM
471,001-002,001-002,DEM,DEM,DEM,DEM,DEM
474,009-007,009-007,REP,undervote,REP,REP,REP
476,002-001,002-001,DEM,DEM,DEM,DEM,DEM
480,018-002,018-002,undervote,REP,undervote,undervote,REP
481,002-010,002-010,DEM,REP,DEM,DEM,DEM
483,023-001,023-001,REP,REP,REP,REP,REP
484,012-001,012-001,REP,REP,REP,REP,REP
486,001-003,001-003,DEM,DEM,DEM,DEM,DEM
487,009-006,009-006,REP,REP,REP,REP,REP
488,001-001,001-001,REP,REP,REP,REP,REP
489,024-002,024-002,DEM,DEM,DEM,DEM,DEM
491,002-005,002-005,DEM,DEM,DEM,DEM,DEM
493,026-001,026-001,REP,REP,REP,REP,REP
496,023-001,023-001,REP,REP,REP,REP,REP
497,001-002,001-002,REP,REP,REP,REP,REP
500,021-003,021-003,DEM,REP,DEM,DEM,DEM
501,002-006,002-006,DEM,DEM,DEM,DEM,DEM
504,009-007,009-007,REP,REP,REP,REP,REP
506,002-004,002-004,DEM,DEM,DEM,DEM,DEM
509,002-005,002-005,DEM,DEM,DEM,DEM,DEM
510,023-005,023-005,DEM,DEM,DEM,DEM,DEM
511,024-001,024-001,DEM,DEM,DEM,DEM,DEM
513,001-002,001-002,DEM,DEM,DEM,DEM,DEM
515,024-002,024-002,REP,REP,REP,REP,REP
516,023-001,023-001,DEM,DEM,DEM,DEM,DEM
517,002-015,002-015,DEM,DEM,DEM,DEM,DEM
521,014-001,014-001,DEM,REP,DEM,DEM,DEM
523,002-014,002-014,REP,undervote,REP,undervote,REP
524,002-008,002-008,REP,REP,REP,REP,REP
525,002-006,002-006,REP,REP,DEM,REP,REP
526,012-001,012-001,DEM,DEM,DEM,DEM,DEM
527,009-005,009-005,DEM,DEM,DEM,DEM,DEM
529,001-002,001-002,DEM,DEM,DEM,DEM,DEM
530,002-005,002-005,DEM,DEM,DEM,DEM,DEM
531,002-006,002-006,DEM,DEM,DEM,DEM,DEM
534,007-004,007-004,DEM,DEM,DEM,DEM,DEM
536,005-001,005-001,DEM,DEM,DEM,DEM,DEM
541,009-009,009-009,DEM,DEM,DEM,DEM,DEM
542,002-013,002-013,REP,REP,REP,REP,REP
543,002-017,002-017,DEM,DEM,DEM,DEM,DEM
544,009-003,009-003,DEM,DEM,DEM,DEM,DEM
548,025-001,025-001,DEM,DEM,DEM,DEM,DEM
549,001-002,001-002,REP,REP,REP,REP,REP
550,009-009,009-009,DEM,DEM,DEM,DEM,DEM
552,001-001,001-001,REP,REP,REP,REP,REP
554,002-001,002-001,DEM,DEM,DEM,DEM,DEM
555,018-002,018-002,REP,REP,REP,REP,REP
557,023-001,023-001,REP,REP,REP,REP,REP
558,002-005,002-005,DEM,DEM,DEM,DEM,DEM
560,002-005,002-005,DEM,DEM,DEM,DEM,DEM
561,023-001,023-001,REP,REP,REP,REP,REP
563,002-005,002-005,DEM,DEM,REP,DEM,DEM
565,001-002,001-002,DEM,DEM,DEM,DEM,DEM
570,023-005,023-005,REP,REP,REP,REP,REP
574,012-001,012-001,LIB,REP,REP,REP,DEM
576,002-004,002-004,DEM,DEM,DEM,DEM,DEM
579,018-002,018-002,DEM,DEM,DEM,DEM,DEM
581,009-008,009-008,DEM,DEM,DEM,DEM,DEM
582,024-005,024-005,DEM,DEM,DEM,DEM,DEM
587,002-007,002-007,DEM,DEM,DEM,DEM,DEM
588,002-015,002-015,DEM,DEM,DEM,DEM,DEM
589,024-001,024-001,DEM,DEM,DEM,DEM,DEM
592,024-001,024-001,REP,REP,REP,REP,REP
596,018-001,018-001,REP,REP,REP,REP,REP
597,002-007,002-007,DEM,DEM,DEM,DEM,DEM
598,009-007,009-007,REP,REP,REP,REP,REP
599,002-006,002-006,REP,REP,REP,REP,REP
601,021-003,021-003,REP,REP,REP,REP,REP
602,012-001,012-001,REP,REP,REP,REP,REP
605,002-013,002-013,DEM,REP,REP,DEM,DEM
606,009-007,009-007,DEM,DEM,DEM,DEM,DEM
608,002-015,002-015,DEM,DEM,DEM,DEM,DEM
609,002-005,002-005,REP,REP,REP,REP,REP
610,002-005,002-005,REP,REP,REP,REP,REP
612,001-002,001-002,REP,REP,REP,REP,REP
614,002-011,002-011,DEM,DEM,DEM,DEM,DEM
619,009-007,009-007,DEM,DEM,DEM,DEM,DEM
621,002-014,002-014,DEM,DEM,DEM,DEM,DEM
622,002-011,002-011,DEM,DEM,DEM,DEM,DEM
625,002-014,002-014,DEM,DEM,DEM,DEM,DEM
626,002-006,002-006,DEM,DEM,DEM,DEM,DEM
627,021-002,021-002,DEM,DEM,DEM,DEM,DEM
628,002-007,002-007,REP,REP,REP,REP,REP
629,002-010,002-010,DEM,DEM,DEM,DEM,DEM
630,002-006,002-006,REP,REP,REP,REP,REP
631,021-001,021-001,REP,REP,REP,REP,REP
635,023-001,023-001,REP,REP,REP,REP,REP
636,021-003,021-003,REP,REP,REP,REP,REP
638,002-001,002-001,REP,REP,REP,REP,REP
639,002-015,002-015,DEM,DEM,DEM,DEM,DEM
641,002-015,002-015,DEM,DEM,DEM,DEM,DEM
642,013-001,013-001,DEM,DEM,DEM,DEM,DEM
645,002-010,002-010,DEM,DEM,DEM,DEM,DEM
647,002-013,002-013,REP,REP,REP,REP,REP
648,021-004,021-004,REP,REP,REP,REP,REP
650,002-013,002-013,DEM,DEM,DEM,DEM,DEM
651,002-005,002-005,DEM,DEM,DEM,DEM,DEM
